0	5650
5651	8650
8651	11850
11851	15125
15126	17875
17876	19375
19376	21125
21126	24550
24551	27225
27226	29425
29426	30575
30576	31550
31551	32275
32276	33775
33776	34875
34876	35675
35676	40400
40401	42625
42626	44375
44376	46275
46276	48825
48826	50200
50201	50500
50501	52725
52726	55200
55201	56375
56376	59775
59776	66125
66126	68375
68376	71825
71826	72800
72801	76575
76576	79025
79026	81275
81276	90575
90576	95825
95826	98025
98026	104500
104501	108200
108201	111325
111326	112425
112426	116025
116026	122975
122976	125375
